userid,version,sum_gamerounds,log_gamerounds,retention_1_int,retention_7_int,retention_score,engagement_tier_code,log_gamerounds_scaled,retention_1_int_scaled,retention_7_int_scaled,retention_score_scaled
116,gate_30,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
337,gate_30,38,3.6635616461296463,1,0,1,3,0.5233474855896137,1.112909772772301,-0.47889623021007877,0.17117880488574516
377,gate_40,165,5.111987788356544,1,0,1,5,1.4892285178351117,1.112909772772301,-0.47889623021007877,0.17117880488574516
483,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
488,gate_40,179,5.19295685089021,1,1,3,5,1.5432226286979058,1.112909772772301,2.0881350424523637,2.071339349039964
540,gate_40,187,5.236441962829949,1,1,3,5,1.5722206173306508,1.112909772772301,2.0881350424523637,2.071339349039964
1066,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
1444,gate_40,2,1.0986122886681098,0,0,0,1,-1.1870855567424012,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
1574,gate_40,108,4.6913478822291435,1,1,3,4,1.2087253600356185,1.112909772772301,2.0881350424523637,2.071339349039964
1587,gate_40,153,5.0369526024136295,1,0,1,5,1.439191404626255,1.112909772772301,-0.47889623021007877,0.17117880488574516
1842,gate_40,3,1.3862943611198906,0,1,2,1,-0.9952451521836702,-0.8985454386917293,2.0881350424523637,1.1212590769628545
2101,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
2132,gate_40,30,3.4339872044851463,1,0,1,3,0.37025607677821604,1.112909772772301,-0.47889623021007877,0.17117880488574516
2179,gate_30,39,3.6888794541139363,1,0,1,3,0.5402306319214399,1.112909772772301,-0.47889623021007877,0.17117880488574516
2218,gate_30,305,5.723585101952381,1,1,3,5,1.8970713669473878,1.112909772772301,2.0881350424523637,2.071339349039964
2382,gate_30,73,4.30406509320417,1,0,1,4,0.9504663510817755,1.112909772772301,-0.47889623021007877,0.17117880488574516
2392,gate_30,14,2.70805020110221,1,0,1,2,-0.11383404126860064,1.112909772772301,-0.47889623021007877,0.17117880488574516
2451,gate_30,204,5.3230099791384085,1,1,3,5,1.6299483830163113,1.112909772772301,2.0881350424523637,2.071339349039964
2482,gate_30,108,4.6913478822291435,1,1,3,4,1.2087253600356185,1.112909772772301,2.0881350424523637,2.071339349039964
2502,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
2530,gate_40,9,2.302585092994046,1,0,1,2,-0.3842179053411787,1.112909772772301,-0.47889623021007877,0.17117880488574516
2534,gate_30,5,1.791759469228055,1,0,1,1,-0.724861288111092,1.112909772772301,-0.47889623021007877,0.17117880488574516
2695,gate_40,45,3.828641396489095,1,0,1,3,0.6334306959318887,1.112909772772301,-0.47889623021007877,0.17117880488574516
2729,gate_30,105,4.663439094112067,0,1,2,4,1.1901144220738125,-0.8985454386917293,2.0881350424523637,1.1212590769628545
2829,gate_30,4,1.6094379124341003,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
2963,gate_30,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
3095,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
3132,gate_40,80,4.394449154672439,1,1,3,4,1.010738841369262,1.112909772772301,2.0881350424523637,2.071339349039964
3186,gate_40,4,1.6094379124341003,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
3199,gate_30,5,1.791759469228055,0,0,0,1,-0.724861288111092,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
3204,gate_40,53,3.9889840465642745,1,1,3,4,0.7403549772966835,1.112909772772301,2.0881350424523637,2.071339349039964
3413,gate_30,37,3.6375861597263857,1,0,1,3,0.5060257672852985,1.112909772772301,-0.47889623021007877,0.17117880488574516
