userid,version,sum_gamerounds,log_gamerounds,retention_1_int,retention_7_int,retention_score,engagement_tier_code,log_gamerounds_scaled,retention_1_int_scaled,retention_7_int_scaled,retention_score_scaled,cluster_id,segment_name
116,gate_30,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
337,gate_30,38,3.6635616461296463,1,0,1,3,0.5233474855896137,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
377,gate_40,165,5.111987788356544,1,0,1,5,1.4892285178351117,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
483,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
488,gate_40,179,5.19295685089021,1,1,3,5,1.5432226286979058,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
540,gate_40,187,5.236441962829949,1,1,3,5,1.5722206173306508,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
1066,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
1444,gate_40,2,1.0986122886681098,0,0,0,1,-1.1870855567424012,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
1574,gate_40,108,4.691347882229144,1,1,3,4,1.2087253600356185,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
1587,gate_40,153,5.0369526024136295,1,0,1,5,1.439191404626255,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
1842,gate_40,3,1.3862943611198906,0,1,2,1,-0.9952451521836702,-0.8985454386917293,2.088135042452364,1.1212590769628543,1,Loyal Core Champions (D7 Retained)
2101,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
2132,gate_40,30,3.4339872044851463,1,0,1,3,0.370256076778216,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
2179,gate_30,39,3.688879454113936,1,0,1,3,0.5402306319214399,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
2218,gate_30,305,5.723585101952381,1,1,3,5,1.897071366947388,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
2382,gate_30,73,4.30406509320417,1,0,1,4,0.9504663510817756,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
2392,gate_30,14,2.70805020110221,1,0,1,2,-0.1138340412686006,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
2451,gate_30,204,5.3230099791384085,1,1,3,5,1.6299483830163113,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
2482,gate_30,108,4.691347882229144,1,1,3,4,1.2087253600356185,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
2502,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
2530,gate_40,9,2.302585092994046,1,0,1,2,-0.3842179053411787,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
2534,gate_30,5,1.791759469228055,1,0,1,1,-0.724861288111092,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
2695,gate_40,45,3.828641396489095,1,0,1,3,0.6334306959318887,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
2729,gate_30,105,4.663439094112067,0,1,2,4,1.1901144220738125,-0.8985454386917293,2.088135042452364,1.1212590769628543,1,Loyal Core Champions (D7 Retained)
2829,gate_30,4,1.6094379124341005,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
2963,gate_30,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
3095,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
3132,gate_40,80,4.394449154672439,1,1,3,4,1.010738841369262,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
3186,gate_40,4,1.6094379124341005,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
3199,gate_30,5,1.791759469228055,0,0,0,1,-0.724861288111092,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
3204,gate_40,53,3.9889840465642745,1,1,3,4,0.7403549772966835,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
3413,gate_30,37,3.6375861597263857,1,0,1,3,0.5060257672852985,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
3690,gate_30,13,2.6390573296152584,1,0,1,2,-0.1598418451783969,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
3696,gate_30,50,3.9318256327243257,0,0,0,3,0.7022389656121908,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
3993,gate_40,202,5.313205979041787,1,1,3,5,1.6234105986879364,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
4076,gate_40,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
4162,gate_30,23,3.1780538303479458,0,0,0,3,0.199587249151527,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
4176,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
4283,gate_30,103,4.6443908991413725,0,0,0,4,1.1774121587796542,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
4594,gate_30,27,3.332204510175204,0,0,0,3,0.3023824234529125,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
4653,gate_40,15,2.772588722239781,0,0,0,2,-0.0707966149210513,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
4881,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
4902,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
4916,gate_40,49,3.912023005428146,1,0,1,3,0.6890336101326218,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
4918,gate_30,7,2.079441541679836,0,0,0,2,-0.5330208835523608,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
4929,gate_30,386,5.958424693029782,1,1,3,5,2.0536738336035154,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
4945,gate_40,25,3.258096538021482,1,0,1,3,0.2529636215170356,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
5066,gate_30,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
5215,gate_30,13,2.6390573296152584,1,0,1,2,-0.1598418451783969,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
5286,gate_30,12,2.5649493574615367,1,0,1,2,-0.2092606471142738,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
5345,gate_40,6,1.9459101490553128,0,0,0,2,-0.6220661138097063,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
